store,ingredient,name,price,unitPrice,sku,price_float
Metro Auckland Victoria Street West,beef mince,woolworths pork & beef mince ,9.0,,6006007,9.0
Metro Auckland Victoria Street West,spaghetti pasta,essentials pasta spaghetti,1.49,,44571,1.49
Metro Auckland Victoria Street West,canned tomatoes,essentials diced tomatoes ,0.97,,311488,0.97
Metro Auckland Victoria Street West,onion,fresh vegetable onions brown,1.69,,144329,1.69
Metro Auckland Victoria Street West,carrot,fresh vegetable carrots ,1.95,,135344,1.95
Metro Auckland Victoria Street West,garlic,gregg's garlic powder ,2.59,,259037,2.59
Metro Auckland Victoria Street West,mixed herbs,maggi instant gravy mix chicken & herb,1.0,,257412,1.0
Ponsonby Woolworths,beef mince,woolworths pork & beef mince ,9.0,,6006007,9.0
Ponsonby Woolworths,spaghetti pasta,essentials pasta spaghetti,1.49,,44571,1.49
Ponsonby Woolworths,canned tomatoes,essentials diced tomatoes ,0.97,,311488,0.97
Ponsonby Woolworths,onion,fresh vegetable onions brown,1.69,,144329,1.69
Ponsonby Woolworths,carrot,fresh vegetable carrots ,1.95,,135344,1.95
Ponsonby Woolworths,garlic,woolworths minced garlic ,2.7,,77384,2.7
Ponsonby Woolworths,mixed herbs,maggi instant gravy mix chicken & herb,1.0,,257412,1.0
Auckland City Woolworths,beef mince,woolworths pork & beef mince ,9.0,,6006007,9.0
Auckland City Woolworths,spaghetti pasta,essentials pasta spaghetti,1.49,,44571,1.49
Auckland City Woolworths,canned tomatoes,essentials diced tomatoes ,0.97,,311488,0.97
Auckland City Woolworths,onion,fresh vegetable onions brown,1.69,,144329,1.69
Auckland City Woolworths,carrot,fresh vegetable carrots ,1.95,,135344,1.95
Auckland City Woolworths,garlic,woolworths minced garlic ,2.7,,77384,2.7
Auckland City Woolworths,mixed herbs,maggi instant gravy mix chicken & herb,1.0,,257412,1.0
Newmarket Woolworths,beef mince,woolworths pork & beef mince ,9.0,,6006007,9.0
Newmarket Woolworths,spaghetti pasta,essentials pasta spaghetti,1.49,,44571,1.49
Newmarket Woolworths,canned tomatoes,essentials diced tomatoes ,0.97,,311488,0.97
Newmarket Woolworths,onion,fresh vegetable onions brown,1.69,,144329,1.69
Newmarket Woolworths,carrot,fresh vegetable carrots ,1.95,,135344,1.95
Newmarket Woolworths,garlic,macro organic garlic granules ,2.5,,905983,2.5
Newmarket Woolworths,mixed herbs,maggi instant gravy mix chicken & herb,1.0,,257412,1.0
Mount Eden Woolworths,beef mince,woolworths pork & beef mince ,9.0,,6006007,9.0
Mount Eden Woolworths,spaghetti pasta,essentials pasta spaghetti,1.49,,44571,1.49
Mount Eden Woolworths,canned tomatoes,essentials diced tomatoes ,0.97,,311488,0.97
Mount Eden Woolworths,onion,fresh vegetable onions brown,1.69,,144329,1.69
Mount Eden Woolworths,carrot,fresh vegetable carrots ,1.95,,135344,1.95
Mount Eden Woolworths,garlic,woolworths minced garlic ,2.7,,77384,2.7
Mount Eden Woolworths,mixed herbs,maggi instant gravy mix chicken & herb,1.0,,257412,1.0
Grey Lynn Woolworths,beef mince,woolworths pork & beef mince ,9.0,,6006007,9.0
Grey Lynn Woolworths,spaghetti pasta,essentials pasta spaghetti,1.49,,44571,1.49
Grey Lynn Woolworths,canned tomatoes,essentials diced tomatoes ,0.97,,311488,0.97
Grey Lynn Woolworths,onion,fresh vegetable onions brown,1.69,,144329,1.69
Grey Lynn Woolworths,carrot,fresh vegetable carrots ,1.95,,135344,1.95
Grey Lynn Woolworths,garlic,woolworths minced garlic ,2.7,,77384,2.7
Grey Lynn Woolworths,mixed herbs,maggi instant gravy mix chicken & herb,1.0,,257412,1.0
St Lukes Woolworths,beef mince,woolworths pork & beef mince ,9.0,,6006007,9.0
St Lukes Woolworths,spaghetti pasta,essentials pasta spaghetti,1.49,,44571,1.49
St Lukes Woolworths,canned tomatoes,essentials diced tomatoes ,0.97,,311488,0.97
St Lukes Woolworths,onion,fresh vegetable onions brown,1.69,,144329,1.69
St Lukes Woolworths,carrot,fresh vegetable carrots ,1.95,,135344,1.95
St Lukes Woolworths,garlic,woolworths minced garlic ,2.7,,77384,2.7
St Lukes Woolworths,mixed herbs,maggi instant gravy mix chicken & herb,1.0,,257412,1.0
Greenlane Woolworths,beef mince,woolworths pork & beef mince ,9.0,,6006007,9.0
Greenlane Woolworths,spaghetti pasta,essentials pasta spaghetti,1.49,,44571,1.49
Greenlane Woolworths,canned tomatoes,essentials diced tomatoes ,0.97,,311488,0.97
Greenlane Woolworths,onion,fresh vegetable onions brown,1.69,,144329,1.69
Greenlane Woolworths,carrot,fresh vegetable carrots ,1.95,,135344,1.95
Greenlane Woolworths,garlic,woolworths minced garlic ,2.7,,77384,2.7
Greenlane Woolworths,mixed herbs,maggi instant gravy mix chicken & herb,1.0,,257412,1.0
Pt Chevalier Woolworths,beef mince,woolworths pork & beef mince ,9.0,,6006007,9.0
Pt Chevalier Woolworths,spaghetti pasta,essentials pasta spaghetti,1.49,,44571,1.49
Pt Chevalier Woolworths,canned tomatoes,essentials diced tomatoes ,0.97,,311488,0.97
Pt Chevalier Woolworths,onion,fresh vegetable onions brown,1.69,,144329,1.69
Pt Chevalier Woolworths,carrot,fresh vegetable carrots ,1.95,,135344,1.95
Pt Chevalier Woolworths,garlic,gregg's garlic powder ,2.59,,259037,2.59
Pt Chevalier Woolworths,mixed herbs,maggi instant gravy mix chicken & herb,1.0,,257412,1.0
