slug,store_id,uid,url
albany,65defcf2-bc15-490e-a84f-1f13b769cd22,bltf659232653b357e6,/upper-north-island/auckland/albany
henderson,6c73764e-b8e6-4e55-ad37-f6a9d207da1f,blt542ec6ed99c05ba9,/upper-north-island/auckland/henderson
blenheim,c3f9e1a3-fc34-452d-af2e-95349e666ba4,bltc48ce040eaa53c10,/south-island/marlborough/blenheim
botany,60561e46-ece7-43a7-b142-9b14812586e4,blt380b7f7069c46dc8,/upper-north-island/auckland/botany
cameron-road,714431ab-6e39-4df6-ac77-cfc5c1e25bc8,blt80da7ee3c18f189b,/upper-north-island/bay-of-plenty/cameron-road
clarence-street,d6d39eea-889d-4e20-923c-55cab225cf7f,blt97be5942898948d2,/upper-north-island/waikato/clarence-street
clendon,3e82142c-78dc-46f3-82ec-28e65fcf84c9,blte5bae4023d5c6c7a,/upper-north-island/auckland/clendon
dunedin,90082979-fb9f-4305-9c72-83274fc438cc,blta873e799c0117a19,/south-island/otago-and-southland/dunedin
gisborne-city,26c9c8bd-b7d8-4551-9fb0-350b829740a1,blt3b2f827c0ff455cd,/upper-north-island/gisborne/gisborne-city
glen-innes,3404c253-577f-45ca-b301-c98312e46efb,blt7206cc7b6ebacaf8,/upper-north-island/auckland/glen-innes
hastings,b39562a4-2b72-43fe-b9ba-eda1d651ad0b,bltd3cec2fe0f448895,/lower-north-island/hawkes-bay/hastings
highland-park,2a1b331a-fc4a-496a-b072-e97cc8f70cae,bltb206eb4cbeaf88e3,/upper-north-island/auckland/highland-park
hornby,be4c4780-218e-425a-a90f-63e21773572b,blteb588edc968fe788,/south-island/canterbury/hornby
hawera,15e6f441-5c1c-4d25-b4ec-1adf918c49c7,blt15b68a03affa280a,/lower-north-island/taranaki-and-wanganui/hawera
invercargill,d8032da3-c1b9-456e-b626-41ce21f8c67b,blt5a73ad6c0c1285f5,/south-island/otago-and-southland/invercargill
kaitaia,3c5e3145-0767-4066-9349-6c0a1313acc5,blt57176a0f39ea8e8a,/upper-north-island/northland/kaitaia
kapiti,c180a72d-5dbe-4403-b7c7-91655e505492,bltb68c9bd80325bee1,/lower-north-island/wellington/kapiti
kilbirnie,21ecaaed-0749-4492-985e-4bb7ba43d59c,blt32707090c6f6e185,/lower-north-island/wellington/kilbirnie
levin,90302a32-84f3-492a-8c9a-10f5242c0448,blt2bd6298e7026ed9c,/lower-north-island/manawatu-and-wairarapa/levin
lincoln-road,92086ded-a55d-4241-a364-7d7ea91531b4,blt59dac545322d05d6,/upper-north-island/auckland/lincoln-road
lower-hutt,b83029b6-5dd5-449e-8056-26f3943a4e18,blt2800e4d8704789df,/lower-north-island/wellington/lower-hutt
manukau,9cd8eb60-3222-4efc-bd7c-50e03e6a81a4,bltb74ea27ec734af5f,/upper-north-island/auckland/manukau
masterton,d1cd1fdd-8767-46a6-a8d3-c3e0632c2dc8,blt79fde2972f93bdc7,/lower-north-island/manawatu-and-wairarapa/masterton
mill-street,076e8177-943b-41fc-a885-ba3d28297acf,blt5b776b8b9916820e,/upper-north-island/waikato/mill-street
moorhouse,61dd754e-8525-4b9e-9e08-173389eea8a8,blt65bbdb91a6de0e95,/south-island/canterbury/moorhouse
mt-albert,b2e98a14-c8ca-401e-99ed-edf74570c6f6,blta4ffd7d758e0c859,/upper-north-island/auckland/mt-albert
mangere,94ef1985-cab1-4b39-a2f3-230120f03c16,blt86f57778f06f1e27,/upper-north-island/auckland/mangere
napier,49037947-e450-49bf-ba1f-a94551c79a72,blte738ec98b3eaccd7,/lower-north-island/hawkes-bay/napier
new-plymouth,53989945-1a28-481d-a61c-d6f75f760ada,bltf5f963c8fb4eaf5b,/lower-north-island/taranaki-and-wanganui/new-plymouth
ormiston,5f167936-79ae-4f6a-b9d2-74afe1bb096b,bltfe2a059bab821b04,/upper-north-island/auckland/ormiston
palmerston-north,48dd98cc-a757-4102-b15d-ea82b4b10571,blt6ef7ea9fb29d979e,/lower-north-island/manawatu-and-wairarapa/palmerston-north
papakura,a7d09522-bee2-41e4-8fe0-0b82b7f342f5,blt49583cf2a04c4afc,/upper-north-island/auckland/papakura
papanui,8cd700ae-d96f-4761-bd7a-805d6b93536d,blta9e7f8ca241819d8,/south-island/canterbury/papanui
petone,98ec3885-ac93-4fcb-807b-59c9055c52c4,bltde506554b8307170,/lower-north-island/wellington/petone
porirua,af385423-d0f1-41f0-9482-ffd10b745143,blt7394c8c1f076ee24,/lower-north-island/wellington/porirua
pukekohe,c2204dae-579e-4b6b-9d42-2e13ceaa6031,bltc0b9c792c46a6ae6,/upper-north-island/auckland/pukekohe
papamoa,3bfe040b-f0c9-45e0-949b-b9ad5a591d55,blte982412538bc1ff3,/upper-north-island/bay-of-plenty/papamoa
queenstown,2ed73be8-936d-4f35-9398-75a707f40a7b,bltc4d82efb9ac0165a,/south-island/otago-and-southland/queenstown
rangiora,715f0e22-95e0-45ce-af3a-07057209976e,bltd30adbc5a2a78916,/south-island/canterbury/rangiora
riccarton,4a279605-eaa8-470d-bcd4-0a9e3c9ab43b,bltb9d46eccb57b946e,/south-island/canterbury/riccarton
richmond,5cf0392f-c187-4fc4-a463-eb269d2e8f45,blt35d7b7debfeb0382,/south-island/nelson/richmond
rolleston,bdc5ef4a-c6a7-4f8a-b8cb-28109e6d61c3,blt4717132b1a3d4173,/south-island/canterbury/rolleston
rotorua,7d48a781-4f68-4c91-a908-8659e1b22f95,blt365dcfd41e8ff373,/upper-north-island/bay-of-plenty/rotorua
royal-oak,e1925ea7-01bc-4358-ae7c-c6502da5ab12,bltb56fc482610e9ce4,/upper-north-island/auckland/royal-oak
silverdale,64eab5b1-8d79-45f4-94f1-02b8cf8b6202,blt03c03f5965f62f18,/upper-north-island/auckland/silverdale
sylvia-park,c0f80e87-16be-4488-9553-da437e8c6c2a,bltc7c12cb01c2ae5d3,/upper-north-island/auckland/sylvia-park
tamatea,6cda96e1-7d29-44a6-956b-3fcfdecc8184,blt8a136d8b97bf3d3b,/lower-north-island/hawkes-bay/tamatea
taupo,b92cc33f-b5a8-4b57-9b82-412946800020,bltd88a22ca608255d5,/upper-north-island/bay-of-plenty/taupo
tauriko,1c388d5e-29ac-4956-b476-cb3431353d2e,blt8b724990c8dbfe76,/upper-north-island/bay-of-plenty/tauriko
te-awamutu,3bb30799-82ce-4648-8c02-5113228963ed,blt2210fd6954a3a768,/upper-north-island/waikato/te-awamutu
thames,6e6809dd-01bc-45c9-aab1-f01ccd8338b0,blt9a24417be1e782c9,/upper-north-island/waikato/thames
timaru,b29a98bd-749c-489c-9eef-6aa38e66a29b,bltc38cdf1537be5aea,/south-island/canterbury/timaru
upper-hutt,4fcc1c8e-cc5e-4675-ba25-5e56b579cf69,blt2e7ac7afbfbab91a,/lower-north-island/wellington/upper-hutt
wainoni,dbca5e00-f7f9-43ae-91de-031ad16f8a92,blt1e43091ebea58d02,/south-island/canterbury/wainoni
wairau-road,002b83de-b79d-4228-a787-bd0765b6cb56,blt1c1f0fb6af58b56b,/upper-north-island/auckland/wairau-road
warkworth,8f0d70be-5cb7-464b-99cb-8b0130671895,blt6431b8bbf25c9df5,/upper-north-island/auckland/warkworth
westgate,33d8d6fc-861a-45ff-9937-5ccdb55eaede,blt5a2307df18c84a88,/upper-north-island/auckland/westgate
whakatane,50b1216b-d066-4457-b88b-9bccf97bf6d3,bltbeb553d06f4ac1b5,/upper-north-island/bay-of-plenty/whakatane
whanganui,01a114de-149c-4f5f-80a1-90cc63f69c6e,blt47a7629b24996d77,/lower-north-island/taranaki-and-wanganui/whanganui
whangarei,529d66cc-60e3-432e-b8d1-efc9f2ec4919,blt2f6ac51a85009834,/upper-north-island/northland/whangarei
