Name,Address 1,Address 2,Address 3,Address 4,Address 5
Woolworths Birkenhead,Cnr Highbury Pass & Birkenhead Avenue,Auckland,Birkenhead Click and Collect,Birkenhead Click and Collect,
Woolworths Northlands,cnr Main North & Sawyers Arms Roads,Northlands Click and Collect,8051,Northlands Click and Collect,
Whangaruru,Whangarei Retail Centre Okara Drive,Whangarei,Whangaruru,110,Whangaruru
Whangaruru – Ngaiotonga Marae,Okara Drive,Retail Centre,Whangarei,Whangaruru – Ngaiotonga Marae,0110
Woolworths Alexandra,106 Centennial Avenue,Alexandra,Alexandra Pickup,Alexandra Pickup,
Woolworths Amberley,Cnr Carters and Amberley Beach Roads,Amberley Click and Collect,7410,Amberley Click and Collect,
Woolworths Andersons Bay,560 Andersons Bay Road,South Dunedin,Andy Bay Click and Collect,9012,Andy Bay Click and Collect
Woolworths Aotea,3 Whitford Brown Ave,Papakowhai,Aotea Click and Collect,Wellington AO,
Woolworths Ashburton,Cnr East and Peter Streets,Ashburton,Ashburton Click and Collect,Ashburton Click and Collect,
Woolworths Ashburton South,Cnr South St and East St,Ashburton,Ashburton South Click Collect,Ashburton South Click Collect,
Woolworths Auckland Airport,George Bolt Memorial & John Goulter Dr,Mangere,AKL Airport CC,2022,AKL Airport Click and Collect
Woolworths Auckland Quay Street,76 Quay Street,Auckland City,Auckland City Click & Collect,Auckland City Click & Collect,
Woolworths Avonhead,Cnr Withells Road & Merrin Street,Avonhead Click and Collect,8042,Avonhead Click and Collect,
Woolworths Awapuni,530 Pioneer Highway,Awapuni Click and Collect,4412,Awapuni Click and Collect,
Woolworths Balclutha,8-12 Charles Streets,Balclutha Pickup,9230,Balclutha Pickup,
Woolworths Bayfair,1-19 Girven Road,Mt Manganui,Bayfair Click and Collect,Bayfair Click and Collect,
Woolworths Beachlands,129 Beachlands Road,Beachlands Click and Collect,Beachlands Click and Collect,,
Woolworths Belfast,755 Main North Road,Belfast Pickup,Belfast Pickup,,
Woolworths Bethlehem,19 Bethlehem Road,Bethlehem Click and Collect,3110,Bethlehem Click and Collect,
Woolworths Blenheim,51 Seymour St,Blenheim,Blenheim Click and Collect,7201,Blenheim Click and Collect
Woolworths Botany,cnr Te Irirangi & Ti Rakau Drives,Botany Downs CC,2010,Botany Downs Click and Collect,
Woolworths Bridge St,Cnr Bridge St and Anglesea St,Bridge St Click and Collect,Bridge St Click and Collect,,
Woolworths Broadway,Main Street,Broadway Click and Collect,4471,Broadway Click and Collect,
Woolworths Browns Bay,Cnr Anzac & Clyde Road,Browns Bay Click and Collect,0630,Browns Bay Click and Collect,
Woolworths Bureta Park,40-50 Bureta Road,Otumoetai,Bureta Park Click and Collect,Bureta Park Click and Collect,
Woolworths Cambridge,Cnr Queen & Empire Streets,Cambridge,Cambridge Click and Collect,Cambridge Click and Collect,
Woolworths Carlyle,36 Carlyle Street,Napier South,Carlyle Click and Collect,4110,Carlyle Click and Collect
Woolworths Christchurch Airport,530 - 546A Memorial Ave,Christchurch,Chch Airport Click and Collect,Chch Airport Click and Collect,
Woolworths Church Corner,Cnr Riccarton Rd & Hansons Lane,Christchurch,Church Cnr Click and Collect,8041,Church Cnr Click and Collect
Woolworths Claudelands,160 Peach Grove Road,Hamilton East,Claudelands Click and Collect,Claudelands Click and Collect,
Woolworths Colombo St,219 Colombo St,Christchurch,Colombo St Click and Collect,8023,Colombo St Click and Collect
Woolworths Dargaville,Dargaville Plaza,Victoria Street,Dargaville Click and Collect,0310,Dargaville Click and Collect
Woolworths Dinsdale,47 Whatawhata Rd,Hamilton,Dinsdale Click and Collect,Dinsdale Click and Collect,
Woolworths Dunedin Central,309 Cumberland Street,Dunedn Cntrl Pickup,9016,Dunedin Cnt Click and Collect,
Woolworths Dunedin South,323 Andersons Bay Road,South Dunedin,Dunedin S Click and Collect,9012,Dunedin S Click and Collect
Woolworths Eastgate,6 Buckleys Road,Linwood,Christchurch,Eastgate Click and Collect,8062
Woolworths Fairy Springs,54 Fairy Springs Road,FairySprings Click and Collect,FairySprings Click and Collect,,
Woolworths Feilding,Cnr Kimbolton and Weld Streets,Feilding,Feilding Click and Collect,Feilding Click and Collect,
Woolworths Ferrymead,999 Ferry Road,Christchurch,Ferrymead Click and Collect,Ferrymead Click and Collect,
Woolworths Flaxmere,4 Swansea Road,Flaxmere Pick Up,4120,Flaxmere Pick Up,
Woolworths Fraser Cove,Fraser Cove Shopping Centre,229-233 Fraser Street,Fraser Cove Click and Collect,3112,Fraser Cove Click and Collect
Woolworths Gisborne,Carnarvon Street,Gladstone Road,Gisborne Click and Collect,4010,Gisborne Click and Collect
Woolworths Glenfield,Cnr Bentley Ave & Glenfield Rd,Glenfield,Glenfield Click and Collect,0629,Glenfield Click and Collect
Woolworths Gore,24 Medway Street,East Gore,Gore Click and Collect,9710,Gore Click and Collect
Woolworths Greenlane,326 Great South Road,Greenlane,Greenlane Click and Collect,1051,Auckland GN
Woolworths Greville Road,Greville Road,Greville Rd Click and Collect,Greville Rd Click and Collect,,
Woolworths Grey Lynn,271 Richmond Road,Grey Lynn,Grey Lynn Click & Collect,Grey Lynn Click and Collect,
Woolworths Greymouth,174 Mawhera Quay,Greymouth Click & Collect,7805,Greymouth,
Woolworths Hamilton,Cnr Anglesea & Liverpool Streets,Hamilton Click and Collect,3204,Hamilton Click and Collect,
Woolworths Hastings Central,301 Queen Street West,Hastings Cnt Click and Collect,4122,Hastings Cnt Click and Collect,
Woolworths Hawera,Cnr Union & Nelson Streets,Hawera,Hawera Click and Collect,4610,Hawera Click and Collect
Woolworths Helensville,43 Commercial Road,Helensville Click and Collect,0800,Helensville Click and Collect,
Woolworths Henderson,West City Mall,Catherine St,Henderson,Henderson Click and Collect,0612
Woolworths Highland Park,507 Pakuranga Highway,Highland Park CC,2010,Highland Park Click & Collect,
Woolworths Hobsonville,124 Hobsonville Road,Hobsonville Click Collect,0618,Hobsonville Click and Collect,
Woolworths Hornby,Cnr Main Sth Rd & Chappie Place,Hornby Click and Collect,Hornby Click and Collect,,
Woolworths Howick,35 Cook St,Howick Click and Collect,2014,Howick Click and Collect,
Woolworths Huntly,16/18 Tumate Mahuta Dr,Huntly Click and Collect,Huntly Click and Collect,,
Woolworths Invercargill,172 Tay Street,Invercargill,Invercargill Click and Collect,Invercargill Click and Collect,
Woolworths Johnsonville,31 Johnsonville Road,Johnsonville Click & Collect,Johnsonville Click and Collect,,
Woolworths Kaiapoi,87-97 Hilton Street,Kaiapoi Click and Collect,7630,Kaiapoi Click and Collect,
Woolworths Karori,Shopping Centre,Main Rd,Karori,Karori Click and Collect,6147
Woolworths Katikati,123-131 Main Road,Katikati Click and Collect,3129,Katikati Click and Collect,
Woolworths Kelston,Cnr Great North Rd & West Coast Rd,Kelston Click and Collect,0602,Kelston Click and Collect,
Woolworths Kelvin Grove,7 Fernlea Ave,Kelvin Grove,Kelvin Grove Click and Collect,Kelvin Grove Click and Collect,
Woolworths Kerikeri,Cnr Butler & Kerikeri Rds,Kerikeri Click and Collect,0230,Kerikeri Click and Collect,
Woolworths Kilbirnie,47 Bay Road,Kilbirnie,Kilbirnie Click and Collect,6022,Kilbirnie Click and Collect
Woolworths Levin,Cnr Bristol &,Stanley Street,Levin Click and Collect,5510,Levin Click and Collect
Woolworths Lower Hutt,261 High Street,Hutt Central,Lower Hutt Click and Collect,5010,Lower Hutt Click and Collect
Woolworths Lynfield,570 Hillsborough Road,Lynfield Click and Collect,1041,Lynfield Click and Collect,
Woolworths Lynnmall,Lynnmall Shopping Centre,Great North Road,Lynnmall Click and Collect,0600,Lynnmall Click and Collect
Woolworths Mailer Street,43 Mailer Street,Mailer St Click and Collect,Mailer St Click and Collect,,
Woolworths Mairangi Bay,3 Ramsgate Terrace,Mairangi Bay Click and Collect,0630,Mairangi Bay Click and Collect,
Woolworths Mangere East,359 Massey Road,Mangere East,Auckland,Mangere East Click and Collect,Mangere East Click and Collect
Woolworths Manukau,652 Great South Road,Manukau Click and Collect,2104,Manukau Click and Collect,
Woolworths Manurewa,227 Browns Road,Manurewa,Manurewa Click and Collect,Manurewa Click and Collect,
Woolworths Masterton,Cnr Workshop & Queen Street,Masterton Click and Collect,5810,Masterton Click and Collect,
Woolworths Matamata,Cnr Arawa & Gouk Streets,Matamata,Matamata Click and Collect,3400,Matamata Click and Collect
Woolworths Meadowbank,35-47 St Johns Rd,Meadowbank Click&Collect,1072,Meadowbank Click and Collect,
Woolworths Meadowlands,Cnr Meadowlands Drive & Whitford Road,Howick,Meadowlands Click and Collect,Meadowlands Click and Collect,
Woolworths Milford,143 Kitchener Road,Milford Click and Collect,Milford Click and Collect,,
Woolworths Moorhouse Ave,347 Moorhouse Ave,Christchurch,Moorhouse Click and Collect,8011,Moorhouse Click and Collect
Woolworths Morrinsville,66 Studholme Street,Morrinsville Pick up,3300,Morrinsville Pick up,
Woolworths Mosgiel,55 Gordon Road,Fairfield,Mosgiel Click and Collect,9024,Mosgiel Click and Collect
Woolworths Mt Eden,Cnr Valley & Dominion Roads,Mt Eden,Mt Eden Click & Collect,Mt Eden Click and Collect,
Woolworths Mt Roskill,112 Stoddard Rd,Mt Roskill,Mt Roskill Click and Collect,Mt Roskill Click and Collect,
Woolworths Mt Wellington,Cnr Penrose Rd & Mt Wellington Highway,Mt Wgtn Click&Collect,Mt Wellington Click and Collec,,
Woolworths Napier,Cnr Munroe & Dickens Streets,Napier Click and Collect,4100,Napier Click and Collect,
Woolworths Nelson,35 St Vincent Street,Nelson Click and Collect,7010,Nelson Click and Collect,
Woolworths Nelson Junction,33 Cadillac Way,Annesbrook,Nelson Junction Pickup,7011,Nelson Junction Pickup
Woolworths New Brighton,12 Hawke Street,New Brighton Click and Collect,8061,New Brighton Click and Collect,
Woolworths New Plymouth Central,Cnr of Cameron & Leach Streets,New Plymouth Click and Collect,New Plymouth Click and Collect,,
Woolworths Newmarket,277 Broadway,Newmarket,Newmarket Click and Collect,Newmarket Click and Collect,
Woolworths Newtown,3 John Street,Newtown Click and Collect,6021,Newtown Click and Collect,
Woolworths Northcote,Pearn Crescent,Northcote Auckland,Northcote Click and Collect,Northcote Click and Collect,
Woolworths Northwest,7 Fred Taylor Drive,Northwest Town Centre,Massy,OLDNorthwest Click and Collect,0614
