Store Name,Suburb,Address,Postcode,State,SiteDataID,latitude,longitude,Key Facilities
Nelson Junction Woolworths,Nelson,33 Cadillac Way,7010,NSN,4166071,-41.2977069,173.241518,None listed
Nelson Woolworths,Nelson,35 St Vincent Street,7010,NSN,1225552,-41.2727,173.2773,"ATM, Fresh flowers, Rug Doctor"
Trafalgar Park Woolworths,Nelson,Cnr Paru paru Rd & Halifax St,7010,NSN,2810937,-41.2702,173.2815,"Fresh flowers, Rug Doctor"
Stoke Woolworths,Stoke,Cnr Putaitai Street & Main Road,7011,NSN,2367135,-41.3117,173.2338,"Fresh flowers, Rug Doctor"
Richmond Woolworths,Richmond,"144 Salisbury Rd, Richmond",7020,NSN,2723227,-41.3342,173.2018,EV Charging
Motueka Woolworths,Motueka,108 High Street,7120,TAS,767216,-41.1097,173.011,Rug Doctor
Springlands Woolworths,Blenheim,133 Middle Renwick Road,7201,MBH,2367143,-41.5092,173.9351,"Fresh flowers, Rug Doctor, Supergold card"
Blenheim Woolworths,Blenheim,51 Arthur Street,7201,MBH,950553,-41.5136,173.9543,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Redwoodtown Woolworths,Blenheim,Cnr Weld St & Alabama Rd,7201,MBH,2811032,-41.5297,173.9552,"Fresh flowers, Rug Doctor, Supergold card"
Karori Woolworths,Karori,"Karori Shopping Centre, Karori Road",6012,WGN,1230169,-41.2843,174.7386,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Crofton Downs Woolworths,Crofton Downs,124 Churchill Drive,6035,WGN,630366,-41.2572,174.7659,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Cable Car Lane Woolworths,Wellington,280 - 284 LAMBTON QUAY,6011,WGN,953090,-41.2843,174.7743,Fresh flowers
Newtown Woolworths,Mount Cook,3 John Street,6021,WGN,2449151,-41.3075,174.7771,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Kilbirnie Woolworths,Kilbirnie,47 Bay Road,6022,WGN,2810998,-41.3195,174.7946,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Johnsonville Mall Woolworths,Johnsonville,Moorefield Road,6037,WGN,311319,-41.223,174.8051,"Fresh flowers, Rug Doctor"
Johnsonville Woolworths,Johnsonville,71 Johnsonville Road,6037,WGN,1646608,-41.2241,174.808,"ATM, Fresh flowers, Rug Doctor"
Tawa Woolworths,Tawa,5 William Earp Place,5028,WGN,565356,-41.1865,174.8308,"ATM, Fresh flowers, Rug Doctor"
Porirua Woolworths,Porirua,Cnr Parumoana St & Lyttleton Avenue,5022,WGN,350711,-41.1339,174.8413,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Petone Woolworths,Petone,45 Jackson Street,5012,WGN,1228590,-41.2229,174.8722,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Aotea Woolworths,Porirua,"3A Whitford Brown Ave, Papakowhai",5024,WGN,1050811,-41.1202,174.8668,"Fresh flowers, Rug Doctor"
Lower Hutt Woolworths,Lower Hutt,261 High Street,5010,WGN,2749937,-41.2074,174.9059,"ATM, Fresh flowers, Rug Doctor"
Queensgate Woolworths,Lower Hutt,"Queensgate Shopping Centre, 35 Bloomfield Terrace",5010,WGN,1226949,-41.2104,174.908,"Fresh flowers, Rug Doctor, Supergold card"
Wainuiomata Woolworths,Lower Hutt,"9 Te Ara Raukura, Upper Hutt, 5014",5014,WGN,1230110,-41.2607,174.9437,Supergold card
Paraparaumu Woolworths,Paraparaumu,Coastlands Shopping Centre,5032,WGN,1123870,-40.9174,175.0055,"Fresh flowers, Rug Doctor, Supergold card"
Upper Hutt Woolworths,Upper Hutt,13-19 Queen Street,5372,WGN,1223959,-41.1227,175.071,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Waikanae Woolworths,Waikanae,Ngaio Road,5391,WGN,2373716,-40.8763,175.0652,"Fresh flowers, Rug Doctor, Supergold card"
Levin Woolworths,Levin,Cnr Bristol & Stanley Sts,5510,MWT,2770183,-40.6203,175.2868,"Fresh flowers, Rug Doctor, Supergold card"
Hawera Woolworths,Hawera,39 Nelson St,4610,TKI,951739,-39.5874,174.2823,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Masterton Woolworths,Masterton,Cnr Workshop & Queen Sts,5810,WGN,2729838,-40.9525,175.6589,"Fresh flowers, Rug Doctor, Supergold card"
Greymouth Woolworths,Greymouth,174 Mawhera Quay,7805,WTC,764300,-42.4487,171.2141,"Fresh flowers, Rug Doctor"
Victoria Ave Woolworths,Wanganui,433 Victoria Ave,4500,MWT,2373711,-39.925,175.0381,"Fresh flowers, Rug Doctor, Supergold card"
Whanganui Woolworths,Whanganui,"Trafalgar Sqr, Cnr Taupo Quay & Wilson Street",4500,MWT,2770231,-39.9358,175.0532,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Amberley Woolworths,Amberley,"Brakensfield Retail Centre, 129 Carters Road",7410,CAN,861615,-43.1569,172.7301,"Fresh flowers, Rug Doctor, Supergold card"
Awapuni Woolworths,Palmerston North,520 Pioneer Highway,4412,MWT,3175333,-40.3703,175.5804,Supergold card
Rangitikei St Woolworths,Palmerston North,Cnr Rangitikei & Featherston St,4471,MWT,1230175,-40.3503,175.6065,"Fresh flowers, Rug Doctor"
Palmerston North Woolworths,Palmerston North,Cnr Ferguson & Ashley Streets,4410,MWT,2686683,-40.3578,175.615,"Fresh flowers, Rug Doctor, Supergold card"
Palmerston North Broadway Woolworths,Palmerston North,Cnr Albert & Main St,4410,MWT,1226867,-40.35,175.6238,"Fresh flowers, Rug Doctor"
Feilding Woolworths,Feilding,Cnr Kimbolton & Welds Streets,4702,MWT,1155534,-40.2252,175.5686,"Fresh flowers, Rug Doctor, Supergold card"
Kelvin Grove Woolworths,"Kelvin Grove, Palmerston North",7 Fernlea Ave,4414,MWT,1093410,-40.3301,175.6534,"ATM, Fresh flowers, Rug Doctor"
Stratford Woolworths,Stratford,21A - 27 Broadway,4332,TKI,855866,-39.3272,174.2795,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Rangiora East Woolworths,"Rangiora, Christchurch",40-54 Ivory Street,7400,CAN,2811341,-43.3074,172.5989,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Waimakariri Junction Woolworths,"Kaiapoi, Waimakariri",6 Hakarau Road,7630,CAN,3838267,-43.3766,172.6481,None listed
Kaiapoi Woolworths,Kaiapoi,87-97 Hilton Street,7630,CAN,1225688,-43.3854,172.658,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Belfast Woolworths,"Belfast, Christchurch",755 Main North Road,8051,CAN,3385698,-43.4483,172.6297,"Fresh Bakery, Liquor, Seafood, Supergold card"
Spotswood Woolworths,New Plymouth,Cnr Manadon St & South Rd,4310,TKI,1235353,-39.0759,174.0339,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Vogeltown Woolworths,"Vogeltown, New Plymouth",30 Hori Street,4310,MWT,1600666,-39.0776,174.0829,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Northlands Woolworths,"Papanui, Christchurch",Cnr Main North Rd & Sawyers Arms Rd,8051,CAN,1225718,-43.4917,172.6116,"Fresh flowers, Rug Doctor, Supergold card"
