Store Name,Suburb,Address,Postcode,State,Distance,Key Facilities
Nelson Junction Woolworths,Nelson,33 Cadillac Way,7010,NSN,6.8 km,None listed
Nelson Woolworths,Nelson,35 St Vincent Street,7010,NSN,7.2 km,"ATM, Fresh flowers, Rug Doctor"
Trafalgar Park Woolworths,Nelson,Cnr Paru paru Rd & Halifax St,7010,NSN,7.4 km,"Fresh flowers, Rug Doctor"
Stoke Woolworths,Stoke,Cnr Putaitai Street & Main Road,7011,NSN,7.9 km,"Fresh flowers, Rug Doctor"
Richmond Woolworths,Richmond,"144 Salisbury Rd, Richmond",7020,NSN,9.9 km,EV Charging
Motueka Woolworths,Motueka,108 High Street,7120,TAS,21.9 km,Rug Doctor
Springlands Woolworths,Blenheim,133 Middle Renwick Road,7201,MBH,68.1 km,"Fresh flowers, Rug Doctor, Supergold card"
Blenheim Woolworths,Blenheim,51 Arthur Street,7201,MBH,69.7 km,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Redwoodtown Woolworths,Blenheim,Cnr Weld St & Alabama Rd,7201,MBH,70.6 km,"Fresh flowers, Rug Doctor, Supergold card"
Karori Woolworths,Karori,"Karori Shopping Centre, Karori Road",6012,WGN,128.8 km,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Crofton Downs Woolworths,Crofton Downs,124 Churchill Drive,6035,WGN,131.1 km,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Cable Car Lane Woolworths,Wellington,280 - 284 LAMBTON QUAY,6011,WGN,131.8 km,Fresh flowers
Newtown Woolworths,Mount Cook,3 John Street,6021,WGN,132.1 km,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Kilbirnie Woolworths,Kilbirnie,47 Bay Road,6022,WGN,133.7 km,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Johnsonville Mall Woolworths,Johnsonville,Moorefield Road,6037,WGN,134.4 km,"Fresh flowers, Rug Doctor"
Johnsonville Woolworths,Johnsonville,71 Johnsonville Road,6037,WGN,134.6 km,"ATM, Fresh flowers, Rug Doctor"
Tawa Woolworths,Tawa,5 William Earp Place,5028,WGN,136.7 km,"ATM, Fresh flowers, Rug Doctor"
Porirua Woolworths,Porirua,Cnr Parumoana St & Lyttleton Avenue,5022,WGN,138.1 km,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Petone Woolworths,Petone,45 Jackson Street,5012,WGN,140.0 km,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Aotea Woolworths,Porirua,"3A Whitford Brown Ave, Papakowhai",5024,WGN,140.3 km,"Fresh flowers, Rug Doctor"
Lower Hutt Woolworths,Lower Hutt,261 High Street,5010,WGN,142.9 km,"ATM, Fresh flowers, Rug Doctor"
Queensgate Woolworths,Lower Hutt,"Queensgate Shopping Centre, 35 Bloomfield Terrace",5010,WGN,143.1 km,"Fresh flowers, Rug Doctor, Supergold card"
Wainuiomata Woolworths,Lower Hutt,"9 Te Ara Raukura, Upper Hutt, 5014",5014,WGN,145.9 km,Supergold card
Paraparaumu Woolworths,Paraparaumu,Coastlands Shopping Centre,5032,WGN,155.8 km,"Fresh flowers, Rug Doctor, Supergold card"
Upper Hutt Woolworths,Upper Hutt,13-19 Queen Street,5372,WGN,157.3 km,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Waikanae Woolworths,Waikanae,Ngaio Road,5391,WGN,161.9 km,"Fresh flowers, Rug Doctor, Supergold card"
Levin Woolworths,Levin,Cnr Bristol & Stanley Sts,5510,MWT,188.8 km,"Fresh flowers, Rug Doctor, Supergold card"
Hawera Woolworths,Hawera,39 Nelson St,4610,TKI,206.1 km,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Masterton Woolworths,Masterton,Cnr Workshop & Queen Sts,5810,WGN,208.8 km,"Fresh flowers, Rug Doctor, Supergold card"
Greymouth Woolworths,Greymouth,174 Mawhera Quay,7805,WTC,212.2 km,"Fresh flowers, Rug Doctor"
Victoria Ave Woolworths,Wanganui,433 Victoria Ave,4500,MWT,213.9 km,"Fresh flowers, Rug Doctor, Supergold card"
Whanganui Woolworths,Whanganui,"Trafalgar Sqr, Cnr Taupo Quay & Wilson Street",4500,MWT,214.0 km,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Amberley Woolworths,Amberley,"Brakensfield Retail Centre, 129 Carters Road",7410,CAN,216.2 km,"Fresh flowers, Rug Doctor, Supergold card"
Awapuni Woolworths,Palmerston North,520 Pioneer Highway,4412,MWT,223.0 km,Supergold card
Rangitikei St Woolworths,Palmerston North,Cnr Rangitikei & Featherston St,4471,MWT,225.9 km,"Fresh flowers, Rug Doctor"
Palmerston North Woolworths,Palmerston North,Cnr Ferguson & Ashley Streets,4410,MWT,226.2 km,"Fresh flowers, Rug Doctor, Supergold card"
Palmerston North Broadway Woolworths,Palmerston North,Cnr Albert & Main St,4410,MWT,227.3 km,"Fresh flowers, Rug Doctor"
Feilding Woolworths,Feilding,Cnr Kimbolton & Welds Streets,4702,MWT,229.8 km,"Fresh flowers, Rug Doctor, Supergold card"
Kelvin Grove Woolworths,"Kelvin Grove, Palmerston North",7 Fernlea Ave,4414,MWT,230.5 km,"ATM, Fresh flowers, Rug Doctor"
